epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,77.5995,1.50478,1.93892,1.52822,0.40463,0.43236,0.35752,0.17845,1.62722,1.84793,1.50317,0.00996,0.00332,0.00996,0.00332,0.00996,0.00332,0.00996,0.00332
2,144.848,1.44627,1.75704,1.50937,0.4081,0.40373,0.33312,0.17485,1.62198,1.87357,1.60458,0.0198283,0.00660942,0.0198283,0.00660942,0.0198283,0.00660942,0.0198283,0.00660942
3,210.365,1.58043,1.97955,1.62754,0.31685,0.24443,0.18713,0.08533,1.98684,3.31614,2.05563,0.0295645,0.00985484,0.0295645,0.00985484,0.0295645,0.00985484,0.0295645,0.00985484
4,267.578,1.6929,2.1666,1.7471,0.2759,0.26026,0.17143,0.08224,2.0691,2.59035,1.94438,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
5,324.8,1.63494,2.10113,1.71261,0.37383,0.35664,0.29005,0.15145,1.75414,2.04815,1.76298,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
6,381.922,1.57802,2.00544,1.67142,0.36587,0.37358,0.28908,0.15018,1.6531,1.93599,1.65979,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
7,439.004,1.5477,1.97247,1.6412,0.41411,0.39243,0.33526,0.1833,1.62411,1.80179,1.63101,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
8,496.385,1.51753,1.91294,1.61703,0.43187,0.36953,0.32133,0.16138,1.75193,2.00251,1.7335,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
9,553.705,1.49752,1.8792,1.60363,0.43947,0.42875,0.37409,0.20652,1.55337,1.72941,1.57559,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
10,610.925,1.47024,1.84379,1.57949,0.43379,0.42818,0.36876,0.20638,1.51955,1.72489,1.5453,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
11,667.937,1.44628,1.81927,1.56692,0.45597,0.43358,0.38658,0.21605,1.53271,1.7353,1.56775,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
12,725.011,1.44031,1.79071,1.56037,0.47147,0.43485,0.39649,0.22397,1.50722,1.67885,1.53489,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
13,781.997,1.42708,1.76686,1.54735,0.48299,0.44433,0.41218,0.23794,1.47273,1.66163,1.50271,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
14,839.013,1.39732,1.73193,1.52795,0.45167,0.44409,0.4062,0.23071,1.47783,1.6201,1.5082,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142
15,896.084,1.38766,1.71813,1.51317,0.46769,0.46768,0.42472,0.24332,1.45656,1.58826,1.48491,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076
16,953.218,1.38049,1.69286,1.50434,0.48259,0.46954,0.43491,0.25495,1.4147,1.55746,1.45864,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
17,1010.18,1.36896,1.67802,1.49396,0.49412,0.45594,0.43413,0.25505,1.42741,1.53698,1.46235,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
18,1067.19,1.34784,1.65442,1.47598,0.48355,0.47587,0.43263,0.25613,1.41163,1.57279,1.45962,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
19,1124.3,1.35173,1.64868,1.47565,0.50214,0.47021,0.44267,0.25955,1.41105,1.52725,1.45279,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
20,1180.99,1.3289,1.61951,1.46877,0.50446,0.45529,0.44129,0.26102,1.38293,1.5363,1.43273,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746
21,1237.79,1.33961,1.60584,1.46903,0.5097,0.4822,0.46007,0.27555,1.373,1.53831,1.43005,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
22,1294.6,1.31888,1.59497,1.46018,0.50235,0.49737,0.46769,0.28428,1.32155,1.44085,1.3805,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
23,1351.67,1.31248,1.58635,1.45535,0.49944,0.45135,0.43866,0.26438,1.34077,1.53087,1.40106,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548
24,1408.85,1.30132,1.57124,1.44503,0.52457,0.47401,0.46551,0.2816,1.33281,1.45723,1.39483,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482
25,1465.66,1.30088,1.56914,1.43995,0.50776,0.50384,0.48081,0.28918,1.3291,1.44335,1.38447,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
26,1522.51,1.2895,1.54404,1.42753,0.51609,0.51231,0.48864,0.29955,1.30686,1.41597,1.36901,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
27,1579.31,1.28933,1.5509,1.4357,0.51963,0.50901,0.48581,0.29953,1.30187,1.40378,1.36299,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284
28,1636.03,1.28281,1.53627,1.42364,0.52622,0.51821,0.49808,0.30904,1.30178,1.39559,1.37543,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
29,1692.82,1.27943,1.50952,1.41906,0.52608,0.5033,0.49025,0.30005,1.29041,1.39795,1.35738,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152
30,1749.47,1.27019,1.50691,1.41356,0.53005,0.52605,0.50174,0.31025,1.29534,1.36977,1.34786,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086
31,1806.28,1.26704,1.50778,1.40888,0.52254,0.52469,0.50403,0.3095,1.27407,1.36969,1.34519,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
32,1863.17,1.25414,1.47645,1.40298,0.52828,0.5126,0.49291,0.29707,1.32119,1.39679,1.36833,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
33,1919.96,1.25373,1.48263,1.40456,0.54554,0.53533,0.52201,0.32232,1.2656,1.34511,1.33964,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
34,1976.73,1.24469,1.4594,1.39486,0.52635,0.53315,0.51133,0.32268,1.25349,1.35212,1.32075,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
35,2033.44,1.24739,1.46254,1.39322,0.55895,0.53744,0.53746,0.33374,1.2475,1.30604,1.31678,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
36,2090.16,1.23071,1.43804,1.38864,0.55548,0.51954,0.53099,0.3345,1.25072,1.36166,1.32628,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
37,2146.86,1.22558,1.42005,1.37822,0.57843,0.5373,0.54933,0.3456,1.24455,1.27237,1.31493,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
38,2203.56,1.21857,1.4145,1.38103,0.57931,0.53808,0.55106,0.34858,1.2294,1.31118,1.3068,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558
39,2260.36,1.22178,1.42639,1.37292,0.58122,0.54874,0.54985,0.34571,1.25913,1.27778,1.30792,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492
40,2316.96,1.21241,1.39901,1.37205,0.58206,0.55514,0.55965,0.35656,1.22736,1.25211,1.29604,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
41,2373.75,1.20703,1.37471,1.36152,0.58026,0.53067,0.54688,0.3493,1.21672,1.28801,1.29322,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
42,2430.4,1.20112,1.38847,1.36311,0.56486,0.55884,0.55446,0.35628,1.2071,1.26238,1.28181,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294
43,2487.11,1.19978,1.36571,1.35656,0.59937,0.56601,0.5784,0.36778,1.20381,1.21791,1.28844,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
44,2543.86,1.19132,1.35507,1.352,0.61252,0.54574,0.57578,0.36773,1.21029,1.24181,1.28702,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162
45,2600.55,1.19092,1.3545,1.35333,0.59438,0.5606,0.57383,0.36568,1.2053,1.24092,1.28208,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096
46,2657.24,1.18839,1.34103,1.35123,0.60729,0.57062,0.58978,0.37617,1.18876,1.21218,1.27712,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
47,2713.9,1.18248,1.34557,1.34712,0.61304,0.57392,0.5926,0.37743,1.19111,1.19185,1.27362,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964
48,2770.47,1.17219,1.32013,1.34175,0.61216,0.57148,0.59331,0.38268,1.17628,1.18471,1.26019,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898
49,2827.16,1.17039,1.31054,1.3386,0.62269,0.57683,0.60165,0.38644,1.17099,1.17078,1.25748,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
50,2883.85,1.17004,1.30768,1.33897,0.62247,0.56095,0.59335,0.38485,1.17733,1.19104,1.26801,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766
51,2940.5,1.16185,1.29579,1.32998,0.6297,0.58293,0.60723,0.39329,1.16934,1.17098,1.26077,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
52,2997.31,1.16363,1.27928,1.32375,0.63963,0.57679,0.61003,0.39789,1.16113,1.15479,1.24793,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
53,3054.1,1.15181,1.26806,1.32469,0.63924,0.5917,0.61864,0.40451,1.15143,1.13086,1.24681,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568
54,3110.8,1.15516,1.26785,1.32318,0.64473,0.5869,0.62252,0.40811,1.14753,1.13572,1.24243,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502
55,3167.49,1.14477,1.2608,1.31344,0.65768,0.57873,0.62399,0.40824,1.15594,1.1303,1.23774,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
56,3224.18,1.14132,1.24883,1.31148,0.662,0.58946,0.63035,0.41721,1.1402,1.12176,1.23366,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
57,3280.85,1.14219,1.24107,1.31179,0.65698,0.59867,0.63459,0.42004,1.13066,1.10309,1.22368,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304
58,3337.53,1.12983,1.22413,1.29992,0.66273,0.59931,0.64003,0.42216,1.13557,1.09374,1.22942,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
59,3394.23,1.12896,1.22098,1.29612,0.65784,0.5984,0.63747,0.42206,1.1356,1.09339,1.22811,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172
60,3450.89,1.12342,1.21516,1.30102,0.67427,0.58749,0.64041,0.42411,1.1301,1.10626,1.22689,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106
61,3507.55,1.12019,1.19985,1.29373,0.67797,0.59788,0.64634,0.43033,1.12171,1.08461,1.21678,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
62,3564.35,1.12042,1.19158,1.29239,0.68952,0.60809,0.65165,0.43718,1.11616,1.06754,1.21642,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974
63,3621.02,1.10502,1.18044,1.27928,0.69412,0.6023,0.65519,0.43968,1.11395,1.06758,1.2159,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908
64,3677.8,1.10645,1.16351,1.28011,0.69406,0.61616,0.66232,0.44577,1.10679,1.05101,1.20531,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
65,3734.51,1.10855,1.16603,1.28024,0.70402,0.60908,0.66017,0.44724,1.10058,1.04473,1.20427,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776
66,3791.18,1.09635,1.14593,1.27376,0.70176,0.61936,0.67016,0.4535,1.09176,1.03148,1.19787,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
67,3847.87,1.08692,1.14484,1.2692,0.70489,0.61302,0.66796,0.45288,1.0913,1.03313,1.19734,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
68,3904.49,1.09018,1.13082,1.26949,0.69902,0.62038,0.66984,0.45529,1.08595,1.01936,1.19147,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578
69,3961.06,1.08007,1.11974,1.25962,0.70944,0.62789,0.67507,0.46058,1.08549,1.01211,1.19297,0.016536,0.005512,0.016536,0.005512,0.016536,0.005512,0.016536,0.005512
70,4017.79,1.08215,1.12282,1.26576,0.70245,0.62207,0.67486,0.46225,1.07894,1.00934,1.18487,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
71,4074.5,1.07713,1.10399,1.25882,0.72403,0.61494,0.67835,0.46427,1.07571,1.00748,1.18231,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538
72,4131.17,1.07081,1.10296,1.25763,0.72675,0.62788,0.68733,0.46999,1.07129,0.99539,1.17634,0.015942,0.005314,0.015942,0.005314,0.015942,0.005314,0.015942,0.005314
73,4187.89,1.0704,1.0906,1.25151,0.73764,0.61993,0.68721,0.47252,1.06591,0.99364,1.17243,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
74,4244.46,1.06681,1.08065,1.25065,0.72972,0.62915,0.68633,0.4726,1.06427,0.99916,1.17248,0.015546,0.005182,0.015546,0.005182,0.015546,0.005182,0.015546,0.005182
75,4301.15,1.06665,1.07082,1.24584,0.74027,0.63293,0.69072,0.47645,1.06501,0.99171,1.17253,0.015348,0.005116,0.015348,0.005116,0.015348,0.005116,0.015348,0.005116
76,4357.82,1.05644,1.07512,1.24514,0.74064,0.6323,0.69156,0.47893,1.06029,0.99222,1.1708,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
77,4414.51,1.05166,1.04603,1.24216,0.73078,0.6425,0.69407,0.48081,1.05819,0.98505,1.17013,0.014952,0.004984,0.014952,0.004984,0.014952,0.004984,0.014952,0.004984
78,4471.18,1.04263,1.04321,1.23527,0.75299,0.6345,0.69699,0.48295,1.05411,0.97852,1.16478,0.014754,0.004918,0.014754,0.004918,0.014754,0.004918,0.014754,0.004918
79,4527.71,1.04788,1.03749,1.23045,0.7585,0.63278,0.69998,0.48701,1.05119,0.97452,1.16587,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
80,4584.3,1.04329,1.03424,1.23173,0.75766,0.64111,0.70465,0.49035,1.04808,0.966,1.16675,0.014358,0.004786,0.014358,0.004786,0.014358,0.004786,0.014358,0.004786
81,4640.95,1.046,1.02266,1.22913,0.76226,0.6366,0.70692,0.49254,1.0442,0.95741,1.16253,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472
82,4697.61,1.03247,1.01697,1.22272,0.76829,0.63964,0.70799,0.49416,1.04445,0.95584,1.16377,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
83,4754.33,1.02422,1.00255,1.21964,0.76393,0.64607,0.71047,0.4986,1.03829,0.9522,1.1592,0.013764,0.004588,0.013764,0.004588,0.013764,0.004588,0.013764,0.004588
84,4810.96,1.02682,0.99895,1.21512,0.76663,0.65297,0.71309,0.50096,1.03384,0.94242,1.15586,0.013566,0.004522,0.013566,0.004522,0.013566,0.004522,0.013566,0.004522
