epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,167.248,1.45054,1.84412,1.61195,0.48544,0.52248,0.45565,0.22238,1.75345,1.51984,1.69997,0.00998,0.00332667,0.00998,0.00332667,0.00998,0.00332667,0.00998,0.00332667
2,319.585,1.4088,1.71371,1.60359,0.40642,0.47471,0.37356,0.18746,1.65685,1.75476,1.71893,0.0198481,0.00661604,0.0198481,0.00661604,0.0198481,0.00661604,0.0198481,0.00661604
3,478.684,1.54738,1.96939,1.73334,0.33635,0.33816,0.27006,0.11939,1.96475,2.12342,2.05066,0.0295843,0.00986142,0.0295843,0.00986142,0.0295843,0.00986142,0.0295843,0.00986142
4,637.019,1.62896,2.15031,1.83763,0.37223,0.36498,0.28585,0.13671,1.81266,2.08751,1.9583,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
5,787.897,1.58502,2.07966,1.79767,0.39612,0.37648,0.32654,0.16699,1.69692,1.95622,1.82031,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
6,945.4,1.53334,2.01682,1.76004,0.43815,0.43723,0.37107,0.19969,1.57512,1.81137,1.74399,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
7,1094.08,1.49822,1.93682,1.72288,0.41618,0.40643,0.3589,0.19363,1.60723,1.78466,1.74429,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
8,1242.48,1.46476,1.90418,1.69426,0.46015,0.44983,0.39376,0.2118,1.6078,1.74879,1.77228,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
9,1391.51,1.43863,1.84769,1.67772,0.46245,0.46098,0.41247,0.23645,1.4726,1.65656,1.62965,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
10,1540.34,1.40281,1.81035,1.65554,0.46286,0.46343,0.41542,0.2382,1.44335,1.64053,1.62326,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
11,1688.75,1.38704,1.76846,1.6318,0.4716,0.44528,0.42047,0.24516,1.42958,1.6747,1.59143,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
12,1838.12,1.3691,1.74698,1.62431,0.47724,0.48725,0.44465,0.26065,1.40008,1.58328,1.58197,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
13,1981.05,1.35385,1.71258,1.60643,0.49426,0.46889,0.43501,0.25816,1.39516,1.61443,1.568,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
14,2122.05,1.33456,1.69633,1.59936,0.50009,0.49207,0.45724,0.26939,1.37841,1.51338,1.55599,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142
15,2263.2,1.32454,1.65604,1.58659,0.50494,0.50218,0.47558,0.28397,1.38713,1.46819,1.55225,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076
16,2409.18,1.31277,1.64884,1.57521,0.51761,0.50564,0.47985,0.28603,1.36085,1.50227,1.53869,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
17,2555.62,1.30352,1.62518,1.56188,0.51099,0.49299,0.47391,0.28745,1.3287,1.49281,1.5305,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
18,2701.41,1.29424,1.60461,1.55017,0.49464,0.5059,0.47764,0.28587,1.34416,1.48866,1.52199,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
19,2847.28,1.27733,1.57955,1.5414,0.5262,0.51236,0.49021,0.30067,1.29564,1.45117,1.49825,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
20,2992.85,1.2704,1.56453,1.53147,0.53367,0.50702,0.50457,0.31147,1.29191,1.38223,1.48115,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746
21,3138.22,1.25835,1.54827,1.52262,0.53894,0.51894,0.50845,0.31304,1.29695,1.40247,1.47506,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
22,3288.88,1.25542,1.53096,1.52299,0.5281,0.52018,0.51,0.31498,1.25756,1.39712,1.45636,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
23,3434.52,1.2261,1.51173,1.50618,0.54708,0.52267,0.52002,0.32374,1.25421,1.35109,1.45563,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548
24,3579.86,1.22911,1.49349,1.50417,0.54266,0.52529,0.51777,0.32356,1.24677,1.37185,1.43323,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482
25,3725.39,1.22239,1.48708,1.49238,0.54275,0.55298,0.52797,0.32749,1.2468,1.32812,1.4355,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
26,3871.49,1.20881,1.45689,1.47857,0.56077,0.54247,0.5454,0.34371,1.23165,1.3293,1.42566,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
27,4016.81,1.19817,1.45621,1.48125,0.54876,0.54216,0.53788,0.33934,1.21512,1.29973,1.4116,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284
28,4161.59,1.19163,1.42189,1.46779,0.56474,0.55874,0.55178,0.35216,1.20875,1.29271,1.40873,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
29,4302.23,1.18955,1.41167,1.46457,0.573,0.54993,0.55737,0.35604,1.19324,1.29067,1.3971,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152
30,4442.63,1.17679,1.41533,1.45641,0.57207,0.57958,0.56646,0.36452,1.1891,1.2528,1.39929,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086
31,4583.03,1.17449,1.39373,1.45661,0.57827,0.5703,0.57026,0.36528,1.1901,1.25482,1.39351,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
32,4723.53,1.16386,1.3812,1.44732,0.58049,0.57456,0.57501,0.37068,1.17718,1.24372,1.39445,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
33,4864.04,1.15682,1.36865,1.44305,0.58827,0.58355,0.58823,0.3763,1.18558,1.2385,1.38468,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
34,5004.5,1.14958,1.35059,1.43306,0.61089,0.57391,0.59593,0.38709,1.1781,1.22152,1.37251,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
35,5144.89,1.14529,1.33574,1.42604,0.60152,0.58253,0.59622,0.38247,1.17895,1.2073,1.37846,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
36,5287.86,1.13457,1.32363,1.42374,0.62651,0.57747,0.60788,0.39604,1.15309,1.17983,1.3582,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
37,5433.65,1.12688,1.29305,1.41552,0.61058,0.59162,0.61227,0.39674,1.15989,1.16782,1.35965,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
38,5579.67,1.12858,1.29401,1.40907,0.61603,0.59784,0.60846,0.40072,1.14362,1.17351,1.34463,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558
39,5724.89,1.11488,1.26253,1.4034,0.63385,0.60041,0.62984,0.41589,1.12628,1.14916,1.33302,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492
40,5870.15,1.11759,1.26742,1.4011,0.64303,0.60077,0.62822,0.41421,1.12741,1.15083,1.33425,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
41,6016.16,1.10725,1.25122,1.39294,0.63966,0.60723,0.63197,0.42333,1.11686,1.11818,1.32571,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
42,6163.32,1.09055,1.23084,1.38442,0.64068,0.61143,0.64267,0.42983,1.10739,1.11409,1.32004,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294
43,6304.12,1.09297,1.22634,1.38842,0.64139,0.62944,0.64814,0.43191,1.11203,1.12111,1.33369,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
44,6444.78,1.08386,1.20332,1.37744,0.65331,0.61822,0.64691,0.43346,1.11749,1.0993,1.31978,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162
45,6585.62,1.07669,1.19861,1.37203,0.66959,0.6179,0.65462,0.43915,1.10618,1.09707,1.31679,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096
46,6726.33,1.0759,1.19208,1.36796,0.6806,0.62814,0.66869,0.45193,1.08024,1.07213,1.29986,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
47,6866.99,1.07062,1.16601,1.35315,0.68703,0.63198,0.67521,0.45621,1.07734,1.04864,1.29676,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964
48,7007.74,1.06774,1.16884,1.36364,0.67448,0.63062,0.66869,0.45506,1.08165,1.04998,1.29536,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898
49,7148.56,1.05446,1.1369,1.3456,0.68852,0.64535,0.68676,0.4676,1.0663,1.01868,1.28368,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
50,7289.24,1.04763,1.13359,1.34738,0.69542,0.64508,0.6892,0.47039,1.06707,1.02829,1.2838,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766
51,7429.98,1.04813,1.12461,1.34081,0.70622,0.64984,0.69391,0.47406,1.07185,1.01156,1.29185,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
52,7570.76,1.03709,1.10254,1.33873,0.70983,0.64975,0.69639,0.47835,1.05959,1.00543,1.28281,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
53,7711.52,1.03882,1.08208,1.32706,0.71547,0.64615,0.69857,0.48187,1.04677,0.99776,1.27019,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568
54,7852.24,1.02853,1.08255,1.32786,0.70872,0.65707,0.70523,0.48842,1.04888,0.98123,1.27045,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502
55,7992.81,1.03334,1.0677,1.32229,0.73057,0.65602,0.71244,0.49311,1.05142,0.97754,1.26535,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
56,8133.38,1.01968,1.06263,1.31586,0.74332,0.6532,0.71676,0.49656,1.0462,0.97491,1.26624,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
57,8274.13,1.01566,1.04151,1.30854,0.73826,0.66175,0.72121,0.50051,1.03118,0.96534,1.2572,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304
58,8414.79,1.0057,1.03406,1.30666,0.74345,0.65568,0.71904,0.50229,1.0302,0.96124,1.25185,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
59,8555.3,1.00324,1.02081,1.29736,0.73901,0.66621,0.72319,0.50744,1.02738,0.94912,1.24706,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172
60,8706.44,1.00401,1.0186,1.30465,0.74381,0.66925,0.72554,0.51381,1.01762,0.94772,1.24818,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106
61,8861.74,0.98952,1.00011,1.29731,0.75177,0.67527,0.73234,0.51735,1.01567,0.93177,1.24261,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
62,9015.42,0.98397,0.99089,1.2882,0.76062,0.67782,0.73518,0.52232,1.01007,0.92486,1.23802,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974
63,9168.4,0.97633,0.97475,1.28646,0.76816,0.67371,0.73898,0.525,1.01542,0.9216,1.2378,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908
64,9321.45,0.97482,0.964,1.28352,0.75543,0.68276,0.73892,0.53032,0.99583,0.92418,1.232,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
65,9478.8,0.96933,0.95943,1.27787,0.76711,0.68491,0.74475,0.53335,0.99652,0.91276,1.22616,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776
66,9637.93,0.9707,0.95028,1.27546,0.78236,0.67946,0.74526,0.53222,1.00543,0.90502,1.23211,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
67,9795.21,0.9566,0.94736,1.27162,0.78327,0.6825,0.74846,0.53816,0.99209,0.89419,1.22304,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
68,9944.66,0.958,0.93486,1.26717,0.76718,0.69658,0.75108,0.544,0.97699,0.88788,1.21493,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578
69,10100.6,0.94619,0.91887,1.26069,0.78274,0.68525,0.7507,0.54449,0.97832,0.88432,1.21462,0.016536,0.005512,0.016536,0.005512,0.016536,0.005512,0.016536,0.005512
70,10253.7,0.94884,0.91312,1.2567,0.78594,0.68652,0.75182,0.54661,0.97084,0.89352,1.20875,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
71,10403.2,0.94433,0.90388,1.25526,0.79137,0.68925,0.75661,0.55036,0.96955,0.88341,1.2084,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538
72,10552.5,0.93505,0.8903,1.24847,0.7985,0.69055,0.76196,0.5572,0.96014,0.87531,1.2065,0.015942,0.005314,0.015942,0.005314,0.015942,0.005314,0.015942,0.005314
