epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,65.4588,1.52382,2.51411,1.56595,0.38765,0.38725,0.3036,0.13095,1.80818,2.19543,1.69143,0.00998,0.00332667,0.00998,0.00332667,0.00998,0.00332667,0.00998,0.00332667
2,118.075,1.53952,2.15434,1.59778,0.32425,0.34623,0.23786,0.11074,1.79156,2.19559,1.78701,0.0197822,0.00659407,0.0197822,0.00659407,0.0197822,0.00659407,0.0197822,0.00659407
3,167.912,1.63995,2.2053,1.68719,0.37099,0.31905,0.25092,0.10399,2.03245,2.23823,1.97614,0.0293864,0.00979547,0.0293864,0.00979547,0.0293864,0.00979547,0.0293864,0.00979547
4,218.919,1.6928,2.22878,1.75371,0.36223,0.32674,0.25957,0.12205,1.80812,2.14325,1.76786,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,272.694,1.65795,2.15599,1.72016,0.37894,0.36108,0.302,0.15023,1.78145,2.02432,1.74618,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,320.194,1.60881,2.10309,1.69629,0.40378,0.38088,0.32007,0.16683,1.70137,1.91984,1.68498,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,368.281,1.57598,2.04578,1.66382,0.39872,0.37196,0.31937,0.16747,1.70545,1.93732,1.6857,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,417.554,1.56027,2.01794,1.64827,0.44155,0.39685,0.34502,0.18239,1.65447,1.89998,1.6521,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,466.845,1.52999,1.96272,1.62781,0.44023,0.3924,0.35974,0.19734,1.57265,1.79614,1.56991,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,517.513,1.50611,1.95278,1.61688,0.43261,0.41139,0.36347,0.19757,1.56181,1.79776,1.58005,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,566.092,1.49321,1.91093,1.59932,0.44731,0.41506,0.37312,0.20475,1.55357,1.78885,1.5644,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,612.438,1.48083,1.88813,1.59449,0.45054,0.41446,0.37235,0.20205,1.58167,1.76929,1.60002,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,657.48,1.47708,1.87052,1.5814,0.44833,0.42226,0.37584,0.21825,1.47608,1.73303,1.51234,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,701.756,1.45313,1.86084,1.57916,0.45814,0.44511,0.39302,0.21968,1.53366,1.68601,1.56231,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,746.125,1.44525,1.8302,1.56361,0.4586,0.4375,0.40316,0.2278,1.51746,1.65127,1.53164,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,790.532,1.44247,1.82487,1.55629,0.47515,0.44119,0.40903,0.23172,1.49473,1.67916,1.50602,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,841.652,1.42956,1.80663,1.54502,0.47463,0.44723,0.4168,0.23867,1.46887,1.62903,1.50215,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,893.571,1.42015,1.78902,1.53304,0.47531,0.44547,0.41306,0.23816,1.45994,1.65724,1.49235,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,943.075,1.41709,1.77671,1.52978,0.47593,0.44335,0.41267,0.23617,1.453,1.63348,1.49636,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,991.973,1.40232,1.75996,1.52567,0.46605,0.45366,0.41542,0.24124,1.43003,1.58982,1.46254,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,1048.1,1.39359,1.75085,1.51964,0.48409,0.45114,0.41996,0.24549,1.43577,1.61402,1.4552,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,1103.05,1.39448,1.74234,1.51474,0.47523,0.44512,0.41889,0.24303,1.4339,1.62539,1.45967,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,1157.73,1.37126,1.72219,1.50183,0.48462,0.45217,0.42953,0.24876,1.42976,1.56794,1.47179,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,1211.36,1.37511,1.71432,1.50509,0.50119,0.46507,0.44433,0.26218,1.40542,1.57352,1.4379,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,1265.33,1.37551,1.70854,1.49953,0.48755,0.47918,0.44509,0.2589,1.42138,1.52982,1.45199,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,1320.35,1.36511,1.68916,1.48988,0.5085,0.46462,0.45443,0.2678,1.40469,1.57,1.44745,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,1372.87,1.36145,1.68974,1.49931,0.50051,0.4753,0.45158,0.26715,1.39393,1.50821,1.43359,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,1427.01,1.34859,1.67028,1.48676,0.50415,0.47499,0.45355,0.27231,1.36982,1.51282,1.41052,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
