epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,213.594,1.48794,2.45267,0.01579,0.4601,0.45509,0.40351,0.19529,1.79474,1.88679,0.02313,0.00998,0.00332667,0.00998,0.00332667,0.00998,0.00332667,0.00998,0.00332667
2,397.389,1.45746,1.97165,0.01606,0.4074,0.44037,0.36977,0.20391,1.60693,1.91351,0.02129,0.0198481,0.00661604,0.0198481,0.00661604,0.0198481,0.00661604,0.0198481,0.00661604
3,575.019,1.59045,2.14636,0.01763,0.37521,0.35562,0.28516,0.14438,1.80723,2.28152,0.02399,0.0295843,0.00986142,0.0295843,0.00986142,0.0295843,0.00986142,0.0295843,0.00986142
4,750.246,1.70162,2.32672,0.01966,0.37743,0.37672,0.29809,0.15302,1.76576,2.26085,0.02392,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
5,925.738,1.67565,2.26539,0.01887,0.41288,0.39433,0.33587,0.17536,1.75054,2.15973,0.02304,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
6,1101.03,1.64951,2.21504,0.01845,0.42643,0.3978,0.34796,0.18583,1.7151,2.07254,0.0222,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
7,1276.36,1.61798,2.16359,0.01759,0.43238,0.38817,0.34647,0.19081,1.66771,2.02187,0.02164,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
8,1451.7,1.57905,2.10739,0.01727,0.45768,0.43977,0.3937,0.21477,1.684,1.96611,0.02138,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
9,1627.03,1.56919,2.05343,0.01721,0.44357,0.441,0.38357,0.21856,1.62859,1.95533,0.02075,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
10,1802.44,1.54907,2.03014,0.01696,0.4759,0.44971,0.41824,0.23864,1.56559,1.84088,0.01925,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
11,1977.74,1.51952,1.9788,0.01628,0.50868,0.4491,0.43919,0.25889,1.54133,1.85115,0.01934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
12,2153.02,1.51435,1.95749,0.0163,0.48597,0.48966,0.44893,0.26216,1.53229,1.72339,0.01911,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
13,2328.5,1.49822,1.92888,0.01577,0.49101,0.46794,0.44206,0.26251,1.53475,1.77577,0.01888,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
