epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,121.339,1.56731,2.65832,0.01595,0.4104,0.45305,0.37104,0.1749,1.77122,1.93096,0.02096,0.00996,0.00332,0.00996,0.00332,0.00996,0.00332,0.00996,0.00332
2,222.026,1.53794,1.97672,0.01583,0.42757,0.436,0.36606,0.17389,1.85835,2.00462,0.02284,0.0198283,0.00660942,0.0198283,0.00660942,0.0198283,0.00660942,0.0198283,0.00660942
3,306.929,1.6087,2.12173,0.01675,0.36729,0.34756,0.26944,0.1357,1.89523,2.32563,0.02527,0.0295645,0.00985484,0.0295645,0.00985484,0.0295645,0.00985484,0.0295645,0.00985484
4,392.41,1.7016,2.28942,0.01897,0.34365,0.33517,0.25292,0.12717,1.90375,2.50066,0.0257,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
5,478.395,1.68622,2.26137,0.0185,0.405,0.39421,0.33105,0.16698,1.84145,2.08613,0.02361,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
6,563.675,1.65558,2.169,0.018,0.41962,0.39021,0.32957,0.17579,1.71826,2.08943,0.02158,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
7,648.917,1.64782,2.14464,0.01769,0.41183,0.41754,0.35859,0.19902,1.70582,1.98164,0.0211,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
8,734.414,1.61235,2.0942,0.01692,0.42246,0.38096,0.32863,0.17148,1.76094,2.15482,0.02218,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
9,819.413,1.60694,2.08051,0.01701,0.43888,0.44099,0.38182,0.2165,1.66428,1.89203,0.02031,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
10,905.496,1.59315,2.04522,0.01681,0.44467,0.43191,0.38635,0.2208,1.64671,1.87249,0.02042,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
11,990.718,1.57683,2.02484,0.01653,0.45916,0.43512,0.39778,0.22627,1.64509,1.91115,0.02002,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
12,1076.46,1.57545,1.99492,0.0164,0.47432,0.44083,0.41191,0.23534,1.61556,1.82571,0.01961,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
13,1161.18,1.56264,1.95256,0.01603,0.47751,0.44687,0.41709,0.24755,1.5862,1.87371,0.01893,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
14,1246.59,1.54245,1.92316,0.01596,0.47637,0.47065,0.42905,0.24622,1.57686,1.74982,0.01894,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142
15,1331.61,1.52143,1.91887,0.01547,0.50373,0.48088,0.45244,0.26144,1.58092,1.71078,0.01869,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076
16,1416.25,1.52523,1.89149,0.01546,0.49239,0.47702,0.44466,0.25393,1.5985,1.74907,0.01872,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
17,1500.67,1.51583,1.86893,0.0153,0.49842,0.49847,0.46004,0.27245,1.54915,1.70132,0.01798,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
18,1586.46,1.49738,1.84555,0.0152,0.5036,0.48598,0.45327,0.2714,1.54307,1.73572,0.01801,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
19,1671.24,1.51418,1.81394,0.01506,0.52594,0.50102,0.47872,0.28302,1.52247,1.66707,0.01772,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
20,1755.98,1.48016,1.80422,0.01511,0.50806,0.49365,0.46898,0.27165,1.5476,1.68601,0.01787,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746
21,1841.45,1.48997,1.80497,0.01484,0.53914,0.49349,0.48848,0.29539,1.50262,1.67788,0.0173,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
22,1926.79,1.4745,1.752,0.01489,0.53313,0.52597,0.50315,0.30355,1.48427,1.55367,0.01726,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
23,2011.84,1.46962,1.76,0.01482,0.52338,0.52762,0.50749,0.30759,1.47904,1.56569,0.01693,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548
24,2096.39,1.46633,1.74991,0.01461,0.5435,0.50268,0.49552,0.30051,1.47811,1.63244,0.01702,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482
25,2182.05,1.45496,1.73983,0.01449,0.54436,0.52914,0.5115,0.30939,1.47838,1.53919,0.01678,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
26,2266.52,1.45761,1.71274,0.01419,0.54949,0.50866,0.5078,0.31177,1.47036,1.58746,0.01669,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
27,2352.85,1.45078,1.70848,0.01441,0.55011,0.53804,0.5187,0.31815,1.45699,1.50709,0.01631,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284
28,2438.74,1.4469,1.69107,0.01427,0.56777,0.52788,0.53161,0.32674,1.43741,1.49999,0.01625,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
29,2523.88,1.44232,1.66622,0.01403,0.56785,0.53201,0.53921,0.3293,1.47165,1.49629,0.01676,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152
30,2608.29,1.42378,1.65747,0.01404,0.58012,0.5347,0.54519,0.34197,1.43554,1.49833,0.01612,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086
31,2692.64,1.44119,1.66703,0.0139,0.57663,0.54457,0.5515,0.34191,1.41739,1.46685,0.01572,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
32,2779.5,1.42244,1.62645,0.0139,0.59177,0.54899,0.55918,0.34795,1.40802,1.45634,0.01567,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
33,2866.59,1.42836,1.62145,0.01394,0.59248,0.55668,0.56365,0.35364,1.41415,1.44572,0.0157,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
34,2954.34,1.40532,1.60189,0.01364,0.6146,0.54915,0.5726,0.36403,1.41395,1.42646,0.01541,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
35,3040.16,1.41077,1.60087,0.01354,0.60518,0.56982,0.58337,0.36266,1.40053,1.40769,0.01535,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
36,3125.9,1.40152,1.57319,0.0137,0.61522,0.54882,0.57619,0.35872,1.42098,1.47268,0.01583,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
