epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,214.774,1.47771,2.31574,1.59507,0.39861,0.44656,0.35118,0.19388,1.59074,1.9509,1.59745,0.00998,0.00332667,0.00998,0.00332667,0.00998,0.00332667,0.00998,0.00332667
2,391.814,1.57628,2.22061,1.68798,0.35244,0.3723,0.28067,0.13285,1.8481,2.237,1.84952,0.0198481,0.00661604,0.0198481,0.00661604,0.0198481,0.00661604,0.0198481,0.00661604
3,561.77,1.72016,2.56784,1.81398,0.23718,0.28338,0.18215,0.08851,1.91483,2.82688,1.94369,0.0295843,0.00986142,0.0295843,0.00986142,0.0295843,0.00986142,0.0295843,0.00986142
4,729.38,1.73,2.68521,1.84583,0.33601,0.33587,0.24405,0.11914,1.85505,2.48082,1.90449,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
5,897.013,1.66952,2.54707,1.80819,0.32974,0.33379,0.25612,0.1326,1.75245,2.46219,1.85298,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
6,1064.5,1.63557,2.45912,1.76932,0.39255,0.36312,0.2991,0.15707,1.72603,2.20728,1.82806,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
7,1231.93,1.60515,2.37734,1.74079,0.36652,0.34568,0.2921,0.16121,1.64917,2.19101,1.74426,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
8,1399.43,1.57318,2.31219,1.71585,0.42028,0.39608,0.33899,0.18458,1.65364,2.09032,1.74785,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
9,1566.78,1.54622,2.23048,1.699,0.40305,0.41676,0.34767,0.19317,1.60414,2.03113,1.69484,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
10,1734.73,1.52524,2.19678,1.68441,0.40292,0.40385,0.34353,0.19376,1.53913,2.04679,1.66659,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
11,1902.85,1.50318,2.15883,1.66651,0.45047,0.42749,0.37687,0.2129,1.57628,1.97189,1.65471,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
12,2070.44,1.49174,2.11058,1.65669,0.44552,0.45327,0.39695,0.22986,1.5295,1.85297,1.64721,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
13,2238.09,1.48214,2.08424,1.64887,0.44876,0.42945,0.3764,0.22213,1.50475,1.95262,1.62157,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
14,2405.71,1.46712,2.05602,1.64466,0.44578,0.45588,0.40207,0.23416,1.51612,1.83936,1.65118,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142
15,2573.18,1.46137,2.00617,1.63362,0.46882,0.46612,0.4196,0.25079,1.46685,1.80127,1.59567,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076
16,2740.79,1.44531,2.00596,1.61498,0.48027,0.47805,0.44195,0.25852,1.48801,1.73903,1.59597,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
17,2908.49,1.43266,1.98053,1.60009,0.47794,0.46888,0.43843,0.26577,1.43657,1.75271,1.54831,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
18,3076.18,1.43115,1.94982,1.59088,0.46528,0.44895,0.42379,0.25654,1.44908,1.81118,1.56877,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
19,3243.58,1.42148,1.9194,1.59421,0.48609,0.47792,0.45039,0.27464,1.43536,1.73276,1.55838,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
20,3411.14,1.41417,1.90999,1.57765,0.50162,0.48078,0.4618,0.28496,1.43741,1.66352,1.54349,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746
21,3578.77,1.39823,1.86878,1.57097,0.50463,0.49917,0.46783,0.28644,1.41952,1.63845,1.52388,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
22,3746.5,1.39974,1.85696,1.57261,0.49119,0.48916,0.46065,0.28152,1.40166,1.66474,1.51824,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
23,3913.93,1.37371,1.83681,1.55349,0.5101,0.49661,0.47441,0.29512,1.3971,1.62578,1.51927,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548
24,4081.41,1.37739,1.8156,1.55469,0.52185,0.50109,0.48881,0.30224,1.3882,1.62468,1.51938,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482
25,4248.93,1.37081,1.80399,1.54138,0.51285,0.50258,0.48399,0.29603,1.40369,1.57925,1.50309,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
26,4416.32,1.35592,1.787,1.52817,0.53124,0.50775,0.51044,0.32371,1.36555,1.58087,1.50144,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
