epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,112.129,1.56739,2.76431,1.46404,0.40849,0.45715,0.36612,0.18423,1.77398,2.01749,1.48185,0.00996,0.00332,0.00996,0.00332,0.00996,0.00332,0.00996,0.00332
2,194.526,1.59537,2.15292,1.48235,0.37784,0.38721,0.30052,0.14955,1.81381,2.22462,1.57142,0.0197624,0.00658747,0.0197624,0.00658747,0.0197624,0.00658747,0.0197624,0.00658747
3,272.284,1.7141,2.43388,1.58838,0.19972,0.21868,0.14378,0.06662,2.06139,3.54517,1.92003,0.0293668,0.00978893,0.0293668,0.00978893,0.0293668,0.00978893,0.0293668,0.00978893
4,348.473,1.78153,2.62614,1.65164,0.31249,0.30168,0.2305,0.11308,1.89658,2.50451,1.7041,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,425.578,1.72586,2.51865,1.62381,0.33009,0.32102,0.24698,0.12182,1.92208,2.39215,1.74755,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,506.515,1.68072,2.41413,1.60522,0.37781,0.3479,0.28526,0.14555,1.76429,2.27165,1.59589,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,587.251,1.66628,2.35017,1.58567,0.40158,0.36809,0.31146,0.16757,1.72216,2.21089,1.5853,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,668.009,1.62873,2.27777,1.55804,0.41399,0.37578,0.3249,0.17248,1.70165,2.11075,1.55272,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,749.553,1.61811,2.24854,1.55618,0.40702,0.39583,0.33872,0.18111,1.68896,2.08304,1.53644,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,832.759,1.58873,2.19987,1.53888,0.43839,0.4218,0.37245,0.20682,1.62233,1.95597,1.50081,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,915.476,1.57651,2.16911,1.52946,0.44583,0.42321,0.37848,0.21267,1.59896,1.94241,1.50065,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,1001.37,1.57556,2.1256,1.51844,0.45199,0.41348,0.37173,0.20573,1.64475,1.94918,1.50688,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,1085.32,1.55858,2.09949,1.49728,0.45808,0.41999,0.3837,0.22145,1.58252,1.93253,1.4537,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,1166.07,1.52999,2.03826,1.5004,0.46168,0.45545,0.41292,0.23997,1.55829,1.81131,1.46015,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,1246.64,1.52706,2.03451,1.48476,0.48194,0.44369,0.40997,0.23377,1.59433,1.82702,1.4654,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,1327.2,1.52619,2.01093,1.47563,0.46597,0.46431,0.41392,0.23769,1.5644,1.81346,1.44815,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
