epoch,train_loss,val_loss,lr
1,7.32185,6.37615,0.00099962
2,6.05083,5.82284,0.00099847
3,5.58601,5.46127,0.00099657
4,5.27282,5.21443,0.00099391
5,5.04946,5.03162,0.00099049
6,4.87694,4.89926,0.00098632
7,4.7364,4.79722,0.00098142
8,4.63422,4.71022,0.00097577
9,4.54843,4.65203,0.0009694
10,4.47188,4.60085,0.00096232
11,4.4046,4.55635,0.00095453
12,4.36098,4.51502,0.00094605
13,4.28819,4.48935,0.00093689
14,4.24164,4.45798,0.00092706
15,4.19389,4.4375,0.00091658
16,4.14616,4.41446,0.00090546
17,4.10957,4.40503,0.00089373
18,4.06783,4.38318,0.0008814
19,4.03404,4.3739,0.00086849
20,3.99624,4.36138,0.00085502
21,3.97734,4.35372,0.00084101
22,3.93857,4.34672,0.00082648
23,3.89757,4.34557,0.00081145
24,3.87596,4.33782,0.00079595
25,3.84361,4.33292,0.00078001
26,3.81898,4.32344,0.00076364
27,3.80593,4.33067,0.00074687
28,3.75734,4.32985,0.00072973
29,3.7379,4.32144,0.00071224
30,3.71964,4.32742,0.00069443
31,3.69946,4.33034,0.00067633
32,3.67696,4.33139,0.00065796
33,3.65164,4.32861,0.00063936
34,3.63317,4.32401,0.00062056
35,3.60472,4.32899,0.00060157
36,3.60407,4.32666,0.00058244
37,3.5805,4.33161,0.00056318
38,3.56,4.32779,0.00054384
39,3.54644,4.34275,0.00052443
40,3.53234,4.33399,0.000505
41,3.50621,4.33531,0.00048557
42,3.50688,4.33814,0.00046616
43,3.48857,4.33746,0.00044682
44,3.4758,4.34354,0.00042756
